alpha; cd
-5.019305019305019; 0.03662337662337661
-3.9382239382239366; 0.02337662337662333
-3.01158301158301; 0.016363636363636302
-1.389961389961389; 0.009350649350649332
-0.23166023166023209; 0.007792207792207795
1.3127413127413128; 0.007012987012987026
2.548262548262546; 0.01246753246753246
3.9382239382239383; 0.01948051948051943
5.250965250965248; 0.027272727272727226
6.1776061776061795; 0.03662337662337661
6.872586872586872; 0.04441558441558441
7.722007722007724; 0.05220779220779215
8.262548262548261; 0.061558441558441535
8.725868725868725; 0.07324675324675323
9.266409266409262; 0.08493506493506492
9.652509652509654; 0.09584415584415584
9.961389961389962; 0.105974025974026
10.347490347490346; 0.11688311688311687
10.888030888030883; 0.13714285714285712
11.274131274131275; 0.15116883116883112
11.737451737451735; 0.16753246753246748
12.2007722007722; 0.1838961038961039
12.66409266409266; 0.19480519480519481
13.127413127413128; 0.20493506493506491
13.899613899613897; 0.2197402597402597
14.594594594594593; 0.23298701298701296
15.289575289575286; 0.24545454545454543
16.138996138996134; 0.25870129870129865
16.911196911196907; 0.27194805194805194
17.837837837837835; 0.2844155844155844
18.378378378378375; 0.29142857142857137
