alpha; cd
-6.397235102792893; 0.05982663402269128
-5.543944661335722; 0.05040806665886194
-4.861882390068358; 0.045284659197915134
-4.179412917445015; 0.038438790001170675
-3.242035395977867; 0.033331874195141054
-2.1350585097448374; 0.030819645429419285
-0.9429765401118804; 0.028312913882003188
0.24829102680911852; 0.029251105806182343
1.1840397428523435; 0.031034036943343002
2.204486340939516; 0.03454492703460699
3.4800445885484788; 0.03893353964868701
4.330077419157805; 0.04329466617123834
5.095005166367203; 0.047650295475483884
5.774827830176674; 0.0520004275614237
6.794663626229875; 0.05809501025638408
7.55918417208329; 0.06417310129642723
8.238803235214773; 0.0693844642502659
9.172923145834078; 0.07805724233061684
9.93744369168749; 0.08413533337066004
10.531957671419045; 0.08934119910619287
11.211169533194544; 0.09627502379582908
11.975079277013991; 0.10493680743956868
12.73919262151143; 0.11273736021540937
13.58780024737482; 0.12312710281325218
14.351709991194271; 0.13178888645699172
15.115212533657738; 0.14217313183652885
15.708912110677327; 0.15082392104365683
16.514763594162766; 0.1620721459002456
17.065707028804404; 0.17158141736611954
17.48899283834615; 0.18108244300453497
17.827173564487964; 0.1905779714246446
17.910242641107992; 0.19919577732193816
18.07902760316192; 0.20523538783384115
